День недели,Группа,Unnamed: 2,Unnamed: 3,Unnamed: 4,УИМО-01-22,ИТГУ,"38.04.05
Бизнес-информатика",28,Unnamed: 9,УИМО-02-22,ИТГУ.1,"38.04.05
Бизнес-информатика.1",28.1,Unnamed: 14, УИМО-03-22,ИТГУ.2,"38.04.05
Бизнес-информатика.2",28.2,Unnamed: 19,День недели.1,Группа.1,Unnamed: 22,Unnamed: 23,Unnamed: 24,УСМО-01-22,Стат,"01.04.05
Статистика",10,Unnamed: 29,УДМО-01-22,ДиА,46.04.02                                   Документоведение,14,Unnamed: 34
ПОНЕДЕЛЬНИК,5,16-20,17-50,II,,,,,,,,,,,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",,,,,,II,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ПОНЕДЕЛЬНИК,6,18-00,19-30,I,Теория систем и системный анализ,пр,Бурлаков В.В.,ивц-118,,Сбалансированная система показателей,пр,Гейман О.Б.,А-206,,Управление проектными рисками,пр,Жемерикин О.И.,А-217,,,6,18-00,19-30,I,"Статистические индикаторы и модели в макроэкономике (3-7н)
Социология (9-15н)",лк,"Перчук М.Ю.
Селиванов Л.Э.",А-321,,Технологии личностного роста,лк,Быкова А.В.,А-328,
ПОНЕДЕЛЬНИК,6,18-00,19-30,II,,,,,,Теория систем и системный анализ,пр,Бурлаков В.В.,ивц-118,,Сбалансированная система показателей,пр,Гейман О.Б.,А-206,,,,,,II,"Статистические индикаторы и модели в макроэкономике (2-6н)
Социология (8-14н)",лк,"Перчук М.Ю.
Селиванов Л.Э.",А-321,,Технологии личностного роста,лк,Быкова А.В.,А-328,
ПОНЕДЕЛЬНИК,7,19-40,21-10,I,Теория систем и системный анализ,пр,Бурлаков В.В.,ивц-118,,Сбалансированная система показателей,пр,Гейман О.Б.,А-206,,Управление проектными рисками,пр,Жемерикин О.И.,А-217,,,7,19-40,21-10,I,"Статистические индикаторы и модели в макроэкономике (3-7н)
Социология (9-15н)",пр,"Перчук М.Ю.
Селиванов Л.Э.",А-321,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ПОНЕДЕЛЬНИК,7,19-40,21-10,II,,,,,,Теория систем и системный анализя,пр,Бурлаков В.В.,ивц-118,,Сбалансированная система показателей,пр,Гейман О.Б.,А-206,,,,,,II,"Статистические индикаторы и модели в макроэкономике (2-6н)
Социология (8-14н)",пр,"Перчук М.Ю.
Селиванов Л.Э.",А-321,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ПОНЕДЕЛЬНИК,7,18-30,20-00,I,,,,,,,,,,,Сбалансированная система показателей,пр,Гейман О.Б.,А-206,,,7,18-30,20-00,I,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ПОНЕДЕЛЬНИК,7,18-30,20-00,II,,,,,,,,,,,Сбалансированная система показателей,пр,Гейман О.Б.,А-206,,,,,,II,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ПОНЕДЕЛЬНИК,8,20-10,21-40,I,,,,,,,,,,,Сбалансированная система показателей,пр,Гейман О.Б.,А-206,,,8,20-10,21-40,I,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ПОНЕДЕЛЬНИК,8,20-10,21-40,II,,,,,,,,,,,Сбалансированная система показателей,пр,Гейман О.Б.,А-206,,,,,,II,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ВТОРНИК,1,9-00,10-30,I,,,,,,,,,,,Сбалансированная система показателей,пр,Гейман О.Б.,А-206,,ВТОРНИК,1,9-00,10-30,I,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ВТОРНИК,1,9-00,10-30,II,,,,,,,,,,,Сбалансированная система показателей,пр,Гейман О.Б.,А-206,,,,,,II,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ВТОРНИК,2,10-40,12-10,I,,,,,,,,,,,Сбалансированная система показателей,пр,Гейман О.Б.,А-206,,,2,10-40,12-10,I,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ВТОРНИК,2,10-40,12-10,II,,,,,,,,,,,Сбалансированная система показателей,пр,Гейман О.Б.,А-206,,,,,,II,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ВТОРНИК,3,12-40,14-10,I,,,,,,,,,,,Сбалансированная система показателей,пр,Гейман О.Б.,А-206,,,3,12-40,14-10,I,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ВТОРНИК,3,12-40,14-10,II,,,,,,,,,,,Сбалансированная система показателей,пр,Гейман О.Б.,А-206,,,,,,II,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ВТОРНИК,4,14-20,15-50,I,,,,,,,,,,,Сбалансированная система показателей,пр,Гейман О.Б.,А-206,,,4,14-20,15-50,I,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ВТОРНИК,4,14-20,15-50,II,,,,,,,,,,,Сбалансированная система показателей,пр,Гейман О.Б.,А-206,,,,,,II,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ВТОРНИК,5,16-20,17-50,I,,,,,,,,,,,Сбалансированная система показателей,пр,Гейман О.Б.,А-206,,,5,16-20,17-50,I,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ВТОРНИК,5,16-20,17-50,II,,,,,,,,,,,Сбалансированная система показателей,пр,Гейман О.Б.,А-206,,,,,,II,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ВТОРНИК,6,18-00,19-30,I,"3, 7, 11, 15 н. Теория систем и системный анализ
5, 9, 13, 17 н. Цифровизация бизнеса","лк
лк","Бурлаков В.В.
Афанасьев А.А.","А-4
А-4",,"3, 7, 11, 15 н. Теория систем и системный анализ
5, 9, 13, 17 н. Цифровизация бизнеса","лк
лк","Бурлаков В.В.
Афанасьев А.А.","А-4
А-4",,"3, 7, 11, 15 н. Теория систем и системный анализ
5, 9, 13, 17 н. Цифровизация бизнеса","лк
лк","Бурлаков В.В.
Афанасьев А.А.","А-4
А-4",,,6,18-00,19-30,I,Статистические методы анализа числовой и нечисловой информации ,лк,Дарда Е.С.,А-177-1,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ВТОРНИК,6,18-00,19-30,II,Совершенствование архитектуры предприятия,лк,Вартанян А.А.,А-4,,Совершенствование архитектуры предприятия,лк,Вартанян А.А.,А-4,,Совершенствование архитектуры предприятия,лк,Вартанян А.А.,А-4,,,,,,II,Математические инструменты в экономических исследованиях,лк,Журавлева Е.В.,А-177-1,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ВТОРНИК,7,19-40,21-10,I,"3, 7, 11, 15 н. Теория систем и системный анализ
5, 9, 13, 17 н. Цифровизация бизнеса","лк
лк","Бурлаков В.В.
Афанасьев А.А.","А-4
А-4",,"3, 7, 11, 15 н. Теория систем и системный анализ
5, 9, 13, 17 н. Цифровизация бизнеса","лк
лк","Бурлаков В.В.
Афанасьев А.А.","А-4
А-4",,"3, 7, 11, 15 н. Теория систем и системный анализ
5, 9, 13, 17 н. Цифровизация бизнеса","лк
лк","Бурлаков В.В.
Афанасьев А.А.","А-4
А-4",,,7,19-40,21-10,I,Статистические методы анализа числовой и нечисловой информации ,пр,Дарда Е.С.,А-177-1,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ВТОРНИК,7,19-40,21-10,II,Управление проектными рисками,пр,Жемерикин О.И.,А-429,,,,,,,Цифровизация управления инфраструктурой предприятия,пр,Вартанян А.А.,А-208,,,,,,II,Математические инструменты в экономических исследованиях,пр,Журавлева Е.В.,А-177-1,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ВТОРНИК,7,18-30,20-00,I,,,,,,,,,,,Цифровизация управления инфраструктурой предприятия,пр,Вартанян А.А.,А-208,,,7,18-30,20-00,I,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ВТОРНИК,7,18-30,20-00,II,,,,,,,,,,,Цифровизация управления инфраструктурой предприятия,пр,Вартанян А.А.,А-208,,,,,,II,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ВТОРНИК,8,20-10,21-40,I,,,,,,,,,,,Цифровизация управления инфраструктурой предприятия,пр,Вартанян А.А.,А-208,,,8,20-10,21-40,I,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
ВТОРНИК,8,20-10,21-40,II,,,,,,,,,,,Цифровизация управления инфраструктурой предприятия,пр,Вартанян А.А.,А-208,,,,,,II,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
СРЕДА,1,9-00,10-30,I,,,,,,,,,,,Цифровизация управления инфраструктурой предприятия,пр,Вартанян А.А.,А-208,,СРЕДА,1,9-00,10-30,I,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
СРЕДА,1,9-00,10-30,II,,,,,,,,,,,Цифровизация управления инфраструктурой предприятия,пр,Вартанян А.А.,А-208,,,,,,II,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
СРЕДА,2,10-40,12-10,I,,,,,,,,,,,Цифровизация управления инфраструктурой предприятия,пр,Вартанян А.А.,А-208,,,2,10-40,12-10,I,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
СРЕДА,2,10-40,12-10,II,,,,,,,,,,,Цифровизация управления инфраструктурой предприятия,пр,Вартанян А.А.,А-208,,,,,,II,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
СРЕДА,3,12-40,14-10,I,,,,,,,,,,,Цифровизация управления инфраструктурой предприятия,пр,Вартанян А.А.,А-208,,,3,12-40,14-10,I,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
СРЕДА,3,12-40,14-10,II,,,,,,,,,,,Цифровизация управления инфраструктурой предприятия,пр,Вартанян А.А.,А-208,,,,,,II,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
СРЕДА,4,14-20,15-50,I,,,,,,,,,,,Цифровизация управления инфраструктурой предприятия,пр,Вартанян А.А.,А-208,,,4,14-20,15-50,I,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
СРЕДА,4,14-20,15-50,II,,,,,,,,,,,Цифровизация управления инфраструктурой предприятия,пр,Вартанян А.А.,А-208,,,,,,II,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
СРЕДА,5,16-20,17-50,I,,,,,,,,,,,Цифровизация управления инфраструктурой предприятия,пр,Вартанян А.А.,А-208,,,5,16-20,17-50,I,,,,,,Веб-разработка,лк,Гущин С.И.,А-221,
СРЕДА,5,16-20,17-50,II,,,,,,,,,,,Цифровизация управления инфраструктурой предприятия,пр,Вартанян А.А.,А-208,,,,,,II,,,,,,Веб-разработка,лк,Гущин С.И.,А-221,
СРЕДА,6,18-00,19-30,I,,,,,,,,,,,Цифровизация управления инфраструктурой предприятия,пр,Вартанян А.А.,А-208,,,6,18-00,19-30,I,"Статистические индикаторы и модели в макроэкономике (3н. -лекция; 5-7н - практические занятия)
Коммуникативные технологии в профессиональной сфере на иностранном языке (9-15н)","лк/пр
пр","Перчук М.Ю.
","А-321
кафедра ИЯ",,Веб-разработка,пр,Шутов К.И.,Г-226-2,
СРЕДА,6,18-00,19-30,II,,,,,,,,,,,Цифровизация бизнеса,пр,Афанасьев А.А.,А-429,,,,,,II,"Статистические индикаторы и модели в макроэкономике (2н- лекци; 4-6н - практические занятия) 
Коммуникативные технологии в профессиональной сфере на иностранном языке (8-14н)","лк/пр
пр","Перчук М.Ю.
","А-321
кафедра ИЯ",,Веб-разработка,пр,Шутов К.И.,Г-226-2,
СРЕДА,7,19-40,21-10,I,,,,,,,,,,,Цифровизация бизнеса,пр,Афанасьев А.А.,А-429,,,7,19-40,21-10,I,"Статистические индикаторы и модели в макроэкономике (3-7н)
Коммуникативные технологии в профессиональной сфере на иностранном языке (9-15н)","пр
пр","Перчук М.Ю.
","А-321
кафедра ИЯ",,Веб-разработка,пр,Шутов К.И.,Г-226-2,
СРЕДА,7,19-40,21-10,II,,,,,,,,,,,Цифровизация бизнеса,пр,Афанасьев А.А.,А-429,,,,,,II,"Статистические индикаторы и модели в макроэкономике (2-6н)
Коммуникативные технологии в профессиональной сфере на иностранном языке (8-14н)","пр
пр","Перчук М.Ю.
","А-321
кафедра ИЯ",,Веб-разработка,пр,Шутов К.И.,Г-226-2,
СРЕДА,7,18-30,20-00,I,,,,,,,,,,,Цифровизация бизнеса,пр,Афанасьев А.А.,А-429,,,7,18-30,20-00,I,,,,,,Веб-разработка,пр,Шутов К.И.,Г-226-2,
СРЕДА,7,18-30,20-00,II,,,,,,,,,,,Цифровизация бизнеса,пр,Афанасьев А.А.,А-429,,,,,,II,,,,,,Веб-разработка,пр,Шутов К.И.,Г-226-2,
СРЕДА,8,20-10,21-40,I,,,,,,,,,,,Цифровизация бизнеса,пр,Афанасьев А.А.,А-429,,,8,20-10,21-40,I,,,,,,Веб-разработка,пр,Шутов К.И.,Г-226-2,
СРЕДА,8,20-10,21-40,II,,,,,,,,,,,Цифровизация бизнеса,пр,Афанасьев А.А.,А-429,,,,,,II,,,,,,Веб-разработка,пр,Шутов К.И.,Г-226-2,
ЧЕТВЕРГ,1,9-00,10-30,I,,,,,,,,,,,Цифровизация бизнеса,пр,Афанасьев А.А.,А-429,,ЧЕТВЕРГ,1,9-00,10-30,I,,,,,,Веб-разработка,пр,Шутов К.И.,Г-226-2,
ЧЕТВЕРГ,1,9-00,10-30,II,,,,,,,,,,,Цифровизация бизнеса,пр,Афанасьев А.А.,А-429,,,,,,II,,,,,,Веб-разработка,пр,Шутов К.И.,Г-226-2,
ЧЕТВЕРГ,2,10-40,12-10,I,,,,,,,,,,,Цифровизация бизнеса,пр,Афанасьев А.А.,А-429,,,2,10-40,12-10,I,,,,,,Веб-разработка,пр,Шутов К.И.,Г-226-2,
ЧЕТВЕРГ,2,10-40,12-10,II,,,,,,,,,,,Цифровизация бизнеса,пр,Афанасьев А.А.,А-429,,,,,,II,,,,,,Веб-разработка,пр,Шутов К.И.,Г-226-2,
ЧЕТВЕРГ,3,12-40,14-10,I,,,,,,,,,,,Цифровизация бизнеса,пр,Афанасьев А.А.,А-429,,,3,12-40,14-10,I,,,,,,Веб-разработка,пр,Шутов К.И.,Г-226-2,
ЧЕТВЕРГ,3,12-40,14-10,II,,,,,,,,,,,Цифровизация бизнеса,пр,Афанасьев А.А.,А-429,,,,,,II,,,,,,Веб-разработка,пр,Шутов К.И.,Г-226-2,
ЧЕТВЕРГ,4,14-20,15-50,I,,,,,,,,,,,Коммуникативные технологии в профессиональной сфере на иностранном языке,пр,Курсевич Д.В.,И-326,,,4,14-20,15-50,I,,,,,,Веб-разработка,пр,Шутов К.И.,Г-226-2,
ЧЕТВЕРГ,4,14-20,15-50,II,,,,,,,,,,,Коммуникативные технологии в профессиональной сфере на иностранном языке,пр,Курсевич Д.В.,И-326,,,,,,II,,,,,,Веб-разработка,пр,Шутов К.И.,Г-226-2,
ЧЕТВЕРГ,5,16-20,17-50,I,,,,,,,,,,,Коммуникативные технологии в профессиональной сфере на иностранном языке,пр,Курсевич Д.В.,И-326,,,5,16-20,17-50,I,,,,,,Гибкое управление проектами,лк,Томорадзе И.В.,А-328,
ЧЕТВЕРГ,5,16-20,17-50,II,,,,,,Коммуникативные технологии в профессиональной сфере на иностранном языке,пр,Курсевич Д.В.,И-326,,Коммуникативные технологии в профессиональной сфере на иностранном языке,пр,Курсевич Д.В.,И-326,,,,,,II,,,,,,Гибкое управление проектами,пр,Томорадзе И.В.,А-328,
ЧЕТВЕРГ,6,18-00,19-30,I,Коммуникативные технологии в профессиональной сфере на иностранном языке,пр,Курсевич Д.В.,И-326,,Цифровизация бизнеса,пр,Афанасьев А.А.,А-174-б,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,,6,18-00,19-30,I,Экономическая теория современного цифрового общества,л,Казанская И.В.,А-205,,Правовые аспекты управления документацией,лк,Рагимова Н.К.,А-328,
ЧЕТВЕРГ,6,18-00,19-30,II,Цифровизация бизнеса,пр,Афанасьев А.А.,А-174-б,,Коммуникативные технологии в профессиональной сфере на иностранном языке,пр,Курсевич Д.В.,И-326,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,,,,,II,Экономическая теория современного цифрового общества,пр,Казанская И.В.,А-205,,Правовые аспекты управления документацией,лк,Рагимова Н.К.,А-328,
ЧЕТВЕРГ,7,19-40,21-10,I,Коммуникативные технологии в профессиональной сфере на иностранном языке,пр,Курсевич Д.В.,И-326,,Цифровизация бизнеса,пр,Афанасьев А.А.,А-174-б,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,,7,19-40,21-10,I,Экономическая теория современного цифрового общества,пр,Казанская И.В.,А-205,,Правовые аспекты управления документацией,пр,Рагимова Н.К.,А-328,
ЧЕТВЕРГ,7,19-40,21-10,II,Цифровизация бизнеса,пр,Афанасьев А.А.,А-174-б,,,,,,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,,,,,II,Экономическая теория современного цифрового общества,пр,Казанская И.В.,А-205,,Правовые аспекты управления документацией,пр,Рагимова Н.К.,А-328,
ЧЕТВЕРГ,7,18-30,20-00,I,,,,,,,,,,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,,7,18-30,20-00,I,,,,,,Правовые аспекты управления документацией,пр,Рагимова Н.К.,А-328,
ЧЕТВЕРГ,7,18-30,20-00,II,,,,,,,,,,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,,,,,II,,,,,,Правовые аспекты управления документацией,пр,Рагимова Н.К.,А-328,
ЧЕТВЕРГ,8,20-10,21-40,I,,,,,,,,,,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,,8,20-10,21-40,I,,,,,,Правовые аспекты управления документацией,пр,Рагимова Н.К.,А-328,
ЧЕТВЕРГ,8,20-10,21-40,II,,,,,,,,,,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,,,,,II,,,,,,Правовые аспекты управления документацией,пр,Рагимова Н.К.,А-328,
ПЯТНИЦА,1,9-00,10-30,I,,,,,,,,,,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,ПЯТНИЦА,1,9-00,10-30,I,,,,,,Правовые аспекты управления документацией,пр,Рагимова Н.К.,А-328,
ПЯТНИЦА,1,9-00,10-30,II,,,,,,,,,,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,,,,,II,,,,,,Правовые аспекты управления документацией,пр,Рагимова Н.К.,А-328,
ПЯТНИЦА,2,10-40,12-10,I,,,,,,,,,,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,,2,10-40,12-10,I,,,,,,Правовые аспекты управления документацией,пр,Рагимова Н.К.,А-328,
ПЯТНИЦА,2,10-40,12-10,II,,,,,,,,,,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,,,,,II,,,,,,Правовые аспекты управления документацией,пр,Рагимова Н.К.,А-328,
ПЯТНИЦА,3,12-40,14-10,I,,,,,,,,,,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,,3,12-40,14-10,I,,,,,,Правовые аспекты управления документацией,пр,Рагимова Н.К.,А-328,
ПЯТНИЦА,3,12-40,14-10,II,,,,,,,,,,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,,,,,II,,,,,,Правовые аспекты управления документацией,пр,Рагимова Н.К.,А-328,
ПЯТНИЦА,4,14-20,15-50,I,,,,,,,,,,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,,4,14-20,15-50,I,,,,,,Правовые аспекты управления документацией,пр,Рагимова Н.К.,А-328,
ПЯТНИЦА,4,14-20,15-50,II,,,,,,,,,,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,,,,,II,,,,,,Правовые аспекты управления документацией,пр,Рагимова Н.К.,А-328,
ПЯТНИЦА,5,16-20,17-50,I,,,,,,,,,,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,,5,16-20,17-50,I,,,,,,Архивы в цифровую эпоху,лк,Мельтюхов М.И.,А-207,
ПЯТНИЦА,5,16-20,17-50,II,,,,,,,,,,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,,,,,II,,,,,,Архивы в цифровую эпоху,лк,Мельтюхов М.И.,А-207,
ПЯТНИЦА,6,18-00,19-30,I,"3,7,11,15 н. Управление проектными рисками",пр,Жемерикин О.И.,А-210,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-329,,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-204,,,6,18-00,19-30,I,,,,,,Архивы в цифровую эпоху,пр,Мельтюхов М.И.,А-207,
ПЯТНИЦА,6,18-00,19-30,II,Совершенствование архитектуры предприятия,пр,Вартанян А.А.,А-329,,Управление проектными рисками,пр,Жемерикин О.И.,А-210,,Теория систем и системный анализ,пр,Бурлаков В.В.,ивц-108,,,,,,II,,,,,,Архивы в цифровую эпоху,пр,Мельтюхов М.И.,А-207,
